	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1	gene_name	ENSEMBL.tag
ENSMUSG00000025737	386	328	479	409	543	565	WD repeat domain 24	Wdr24
ENSMUSG00000025738	23.71	10.009	24.165	12.898	36.046	26.121	F-box and leucine-rich repeat protein 16	Fbxl16
ENSMUSG00000025739	6	2	10	9	15	9	guanine nucleotide binding protein (G protein), gamma 13	Gng13
ENSMUSG00000025742	142.001	101.001	210.083	219	291.003	224.001	phosphoribosyl pyrophosphate synthetase 2	Prps2
ENSMUSG00000025743	687	340	701	468	1136	759	syndecan 3	Sdc3
ENSMUSG00000025745	1905.002	2382	2309	2174.999	2780	3389	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	Hadha
ENSMUSG00000025746	3	2	12	1	2	2	interleukin 6	Il6
ENSMUSG00000025747	202.472	364.117	328.685	400.332	411.295	393.834	thymidylate synthase	Tyms
ENSMUSG00000025754	0	0	2	0	0	0	ATP/GTP binding protein-like 1	Agbl1
ENSMUSG00000025757	379.273	256.91	413.225	389.168	563.871	743.727	heat shock protein 4 like	Hspa4l
ENSMUSG00000025758	278.03	285.077	459.133	391.063	625.006	469.177	polo like kinase 4	Plk4
ENSMUSG00000025759	167.609	119	237.931	156	292	299.647	major facilitator superfamily domain containing 8	Mfsd8
ENSMUSG00000025762	207	154.001	333.932	236.878	419.011	365.482	La ribonucleoprotein domain family, member 1B	Larp1b
ENSMUSG00000025764	4144.378	3047.292	4888.897	3473.339	6507.953	5959.853	jade family PHD finger 1	Jade1
ENSMUSG00000025766	76	85	109	71	90	149	DNA segment, Chr 3, ERATO Doi 751, expressed	D3Ertd751e
ENSMUSG00000025774	0	0	0	0	0	0	cysteine-rich secretory protein 4	Crisp4
ENSMUSG00000025776	5.055	3.005	8.564	18	9.81	11.01	cysteine-rich secretory protein LCCL domain containing 1	Crispld1
ENSMUSG00000025777	4	0	6	4	4	4	ganglioside-induced differentiation-associated-protein 1	Gdap1
ENSMUSG00000025779	90	74	133	115	98	138	lymphocyte antigen 96	Ly96
ENSMUSG00000025780	941	244	766	502	1210	844.993	inter-alpha (globulin) inhibitor H5	Itih5
ENSMUSG00000025781	2733.984	3780	4349	3789.888	3850	5294.858	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	Atp5c1
ENSMUSG00000025782	251.319	277.387	382.135	222	406.52	401	TATA-box binding protein associated factor 3	Taf3
ENSMUSG00000025783	3	5	8	5	26	10	NA	NA
ENSMUSG00000025784	5	4	9	3	1	3	C-type lectin domain family 3, member b	Clec3b
ENSMUSG00000025785	309.999	458	508	380.001	462	540	exosome component 7	Exosc7
ENSMUSG00000025786	1278.004	771.215	1477.41	1178.314	1994.601	1877.745	zinc finger, DHHC domain containing 3	Zdhhc3
ENSMUSG00000025787	0	0	1	2	1	2	transglutaminase 4 (prostate)	Tgm4
ENSMUSG00000025789	39	19	48	26	51	47	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	St8sia2
ENSMUSG00000025790	451	302	557.001	347	772	397	solute carrier organic anion transporter family, member 3a1	Slco3a1
ENSMUSG00000025791	1657	2061	1983	1974	2222	3298	phosphoglucomutase 1	Pgm1
ENSMUSG00000025792	865.001	890	993.999	1243	1215.999	2015	solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10	Slc25a10
ENSMUSG00000025793	973	1103	1369	1086.001	1618.001	1580	HGF-regulated tyrosine kinase substrate	Hgs
ENSMUSG00000025794	5724.897	8897.634	10833.12	8551.661	8937.104	10264.163	ribosomal protein L14	Rpl14
ENSMUSG00000025795	1771	1309	2162	1667	2349	2429	Ras association (RalGDS/AF-6) domain family member 3	Rassf3
ENSMUSG00000025804	64	92	102	64	112	66	chemokine (C-C motif) receptor 1	Ccr1
ENSMUSG00000025808	0	0	0	0	0	1	coiled-coil domain containing 7A	Ccdc7a
ENSMUSG00000025809	12422	5427	14481	10085	18257	15042	integrin beta 1 (fibronectin receptor beta)	Itgb1
ENSMUSG00000025810	179	71	122.002	128	193	181	neuropilin 1	Nrp1
ENSMUSG00000025812	1746.001	1289.001	1709	1376.002	2107.001	2491.999	par-3 family cell polarity regulator	Pard3
ENSMUSG00000025813	707	667	995	582	1179	923	homer scaffolding protein 2	Homer2
ENSMUSG00000025815	153.351	85.55	120.378	152.975	94.244	388.823	dehydrogenase E1 and transketolase domain containing 1	Dhtkd1
ENSMUSG00000025816	391.793	296.476	562.807	420.726	674.467	609.86	Sec61, alpha subunit 2 (S. cerevisiae)	Sec61a2
ENSMUSG00000025817	582.61	938.867	883.001	848.808	998.794	910.777	nudix (nucleoside diphosphate linked moiety X)-type motif 5	Nudt5
ENSMUSG00000025821	301	207	347	232	346	525	zinc finger protein 282	Zfp282
ENSMUSG00000025823	7915	4029	10328	6654	9939	9558	protein disulfide isomerase associated 4	Pdia4
ENSMUSG00000025825	754.335	887.065	1195.171	893.29	1040.421	1129.87	iron-sulfur cluster assembly enzyme	Iscu
ENSMUSG00000025838	1	2	1	0	2	3	PRAME like 6	Pramel6
ENSMUSG00000025839	1	0	0	5.003	0	1	PRAME like 7	Pramel7
ENSMUSG00000025854	375.001	182	394	470	391.001	1014	FAM20C, golgi associated secretory pathway kinase	Fam20c
ENSMUSG00000025855	76	50.387	110.907	53	118	99	protein kinase, cAMP dependent regulatory, type I beta	Prkar1b
ENSMUSG00000025856	848	452.999	1028.001	585	1017.999	1032.001	platelet derived growth factor, alpha	Pdgfa
ENSMUSG00000025857	316.971	335.069	513.823	354.084	610.217	538.748	dynein, axonemal assembly factor 5	Dnaaf5
ENSMUSG00000025858	1274.283	1512.527	2022.191	1723.149	2005.706	2016.962	golgi to ER traffic protein 4	Get4
ENSMUSG00000025860	1715.999	772.965	2053	1473.966	2834.001	2652.002	X-linked inhibitor of apoptosis	Xiap
ENSMUSG00000025862	1073.014	815.072	1445.953	1080.995	1675.997	1736.016	stromal antigen 2	Stag2
ENSMUSG00000025867	54.185	31.166	53.337	45.309	96.182	82.236	complexin 2	Cplx2
ENSMUSG00000025868	664	881	1035	876	859	982	HIG1 domain family, member 2A	Higd2a
ENSMUSG00000025869	455.393	734.002	741	687	774.634	847.632	NOP16 nucleolar protein	Nop16
ENSMUSG00000025870	149	100	155	135	219	267	ADP-ribosylation factor-like 10	Arl10
ENSMUSG00000025871	1087.902	1032.202	1403.794	1223.637	1381.043	1918.246	RIKEN cDNA 4833439L19 gene	4833439L19Rik
ENSMUSG00000025872	702.376	991	1184	889	1237	1173	THO complex 3	Thoc3
ENSMUSG00000025873	1883.096	1311.334	2129.913	1818.794	2817.538	2691.315	Fas associated factor family member 2	Faf2
ENSMUSG00000025875	86.001	55	118.001	120.001	168.001	152.001	tetraspanin 17	Tspan17
ENSMUSG00000025876	361	210	406	293	726	309	unc-5 netrin receptor A	Unc5a
ENSMUSG00000025877	15	24	51	30	59	39	hexokinase 3	Hk3
ENSMUSG00000025878	351.001	487.004	719.013	380.003	750.908	654.028	ubiquitin interaction motif containing 1	Uimc1
ENSMUSG00000025880	929	601	1338	812	1542.001	1185	SMAD family member 7	Smad7
ENSMUSG00000025885	560.001	500.001	569.001	471.001	497.001	821.001	myosin VB	Myo5b
ENSMUSG00000025887	80	106	147.999	151	213	192	caspase 12	Casp12
ENSMUSG00000025888	57.999	56	60	73	68	88	caspase 1	Casp1
ENSMUSG00000025889	1403	2355.999	2107	1522.999	791	1379	synuclein, alpha	Snca
ENSMUSG00000025892	7.057	5.001	2.002	9	7.135	3	glutamate receptor, ionotropic, AMPA4 (alpha 4)	Gria4
ENSMUSG00000025893	42	76	64	60	64	80	kelch repeat and BTB (POZ) domain containing 3	Kbtbd3
ENSMUSG00000025894	453	582	725	614.013	656	732	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Aasdhppt
ENSMUSG00000025898	301	298.999	412.999	284	446.034	464.078	CWF19-like 2, cell cycle control (S. pombe)	Cwf19l2
ENSMUSG00000025899	415.445	330.469	538.913	427.216	557.492	596.182	alkB homolog 8, tRNA methyltransferase	Alkbh8
ENSMUSG00000025900	1	2	2	1	0	2	retinitis pigmentosa 1 (human)	Rp1
ENSMUSG00000025902	355.999	278	609.999	506.999	692	399	SRY (sex determining region Y)-box 17	Sox17
ENSMUSG00000025903	1564.842	1636.793	2091.121	2003.212	2031.458	3632.338	lysophospholipase 1	Lypla1
ENSMUSG00000025905	3.001	0	0	2	0	1	opioid receptor, kappa 1	Oprk1
ENSMUSG00000025907	1388.935	1080.789	1740.882	1203.998	2108.275	1984.334	RB1-inducible coiled-coil 1	Rb1cc1
ENSMUSG00000025909	0	1	0	0	0	0	syntrophin, gamma 1	Sntg1
ENSMUSG00000025911	214	219	292	230	194	345	alcohol dehydrogenase, iron containing, 1	Adhfe1
ENSMUSG00000025912	30	16	32	49	54	56	myeloblastosis oncogene-like 1	Mybl1
ENSMUSG00000025915	1158.082	977.456	1298.522	1336.513	1034.623	2892.638	serum/glucocorticoid regulated kinase 3	Sgk3
ENSMUSG00000025916	2	0	1	2	1	13	protein phosphatase 1, regulatory subunit 42	Ppp1r42
ENSMUSG00000025917	1438	2105.999	2224	2015	2111.001	2620.001	COP9 signalosome subunit 5	Cops5
ENSMUSG00000025920	354	307	551	353.001	549.999	515	staufen double-stranded RNA binding protein 2	Stau2
ENSMUSG00000025921	531	408	819	717	985	820	retinol dehydrogenase 10 (all-trans)	Rdh10
ENSMUSG00000025925	276.91	290.006	407.515	310.981	394.15	449.126	telomeric repeat binding factor 1	Terf1
ENSMUSG00000025927	1	0	0	1	13.002	1.787	transcription factor AP-2 beta	Tfap2b
ENSMUSG00000025929	0	1	0	0	0	0	interleukin 17A	Il17a
ENSMUSG00000025930	26	54.999	28.002	50.998	59	46.947	musculin	Msc
ENSMUSG00000025931	161	34	171	162	346	231	progestin and adipoQ receptor family member VIII	Paqr8
ENSMUSG00000025932	58	30	96.933	46	93	66.001	EYA transcriptional coactivator and phosphatase 1	Eya1
ENSMUSG00000025933	25	36	48	31	46	66	transmembrane protein 14A	Tmem14a
ENSMUSG00000025934	134	141	102	413	41	559	glutathione S-transferase, alpha 3	Gsta3
ENSMUSG00000025935	3820	2584	4768	3835	4955	5413	translocating chain-associating membrane protein 1	Tram1
ENSMUSG00000025937	797.561	684.5	971.522	785.226	825.928	1501.305	lactamase, beta 2	Lactb2
ENSMUSG00000025938	629	312	902	840	2024	1462	solute carrier organic anion transporter family, member 5A1	Slco5a1
ENSMUSG00000025939	558.162	534.004	682.188	668.939	726.01	861.117	ubiquitin-conjugating enzyme E2W (putative)	Ube2w
ENSMUSG00000025940	545.841	667.63	869.582	782.356	767.8	933.731	transmembrane protein 70	Tmem70
ENSMUSG00000025945	0	0	0	0	0	0	crystallin, gamma F	Crygf
ENSMUSG00000025946	0	1	1	2	2	4	parathyroid hormone 2 receptor	Pth2r
ENSMUSG00000025949	494.11	258.778	521.004	372.345	721.47	938.285	phosphoinositide kinase, FYVE type zinc finger containing	Pikfyve
ENSMUSG00000025950	1464.999	1744	1636	1678	1447	3486	isocitrate dehydrogenase 1 (NADP+), soluble	Idh1
ENSMUSG00000025952	0	0	0	0	0	0	crystallin, gamma C	Crygc
ENSMUSG00000025955	0	0	4.001	2	3.721	2.691	aldo-keto reductase family 1, member C-like	Akr1cl
ENSMUSG00000025956	338	303.001	550	381	624	536	methyltransferase like 21A	Mettl21a
ENSMUSG00000025958	523	350	664.001	572	949.999	881	cAMP responsive element binding protein 1	Creb1
ENSMUSG00000025959	649	240	657	425	795	860	Kruppel-like factor 7 (ubiquitous)	Klf7
ENSMUSG00000025961	0	0	0	0	0	0	RIKEN cDNA 4933402D24 gene	4933402D24Rik
ENSMUSG00000025962	366.999	525.999	643.001	537.999	566	655	FAST kinase domains 2	Fastkd2
ENSMUSG00000025963	0	0	1	0	0	0	malate dehydrogenase 1B, NAD (soluble)	Mdh1b
ENSMUSG00000025964	185.001	97	175.001	194.999	148	248	a disintegrin and metallopeptidase domain 23	Adam23
ENSMUSG00000025967	6534.629	10034.668	12933.98	10548.803	11214.612	11086.156	eukaryotic translation elongation factor 1 beta 2	Eef1b2
ENSMUSG00000025968	1375.496	1478.36	1893.647	1498.999	2035.035	2471	NADH:ubiquinone oxidoreductase core subunit S1	Ndufs1
ENSMUSG00000025969	210.71	75.447	165.364	355.663	210.405	485.982	neuropilin 2	Nrp2
ENSMUSG00000025971	506.064	570.67	780.434	643.54	660.126	879.928	matrix AAA peptidase interacting protein 1	Maip1
ENSMUSG00000025977	2	1	0	4	0	2	boule homolog, RNA binding protein	Boll
ENSMUSG00000025978	27.025	47.077	40.049	34.014	33.023	39.057	raftlin family member 2	Rftn2
ENSMUSG00000025979	1413.277	1738.855	2198.319	1685.891	1878.486	2195.085	MOB family member 4, phocein	Mob4
ENSMUSG00000025980	4859.997	5164.968	6483.415	5051.547	7096.962	7785.007	heat shock protein 1 (chaperonin)	Hspd1
ENSMUSG00000025981	583.904	718.747	928.473	795.829	903.86	992.737	coenzyme Q10B	Coq10b
ENSMUSG00000025982	3798.061	3578.002	5317.026	4103.358	6204.342	5646.457	splicing factor 3b, subunit 1	Sf3b1
ENSMUSG00000025983	5	2	9	3	2	2	coiled-coil domain containing 150	Ccdc150
ENSMUSG00000025986	1095.999	523	1050	965	1854	1339.056	solute carrier family 39 (zinc transporter), member 10	Slc39a10
ENSMUSG00000025991	130	56	86	65	9	302	carbamoyl-phosphate synthetase 1	Cps1
ENSMUSG00000025993	3684	2184	3127.999	3700.999	3444.999	6805.999	solute carrier family 40 (iron-regulated transporter), member 1	Slc40a1
ENSMUSG00000025995	455	509	696.001	549.991	759	697	WD repeat domain 75	Wdr75
ENSMUSG00000025997	54	25	38	47	62	93	IKAROS family zinc finger 2	Ikzf2
ENSMUSG00000026000	378	528	738.001	538	632	686	LanC (bacterial lantibiotic synthetase component C)-like 1	Lancl1
ENSMUSG00000026003	1385	1661	1795	1886	1803	3140	acyl-Coenzyme A dehydrogenase, long-chain	Acadl
ENSMUSG00000026004	143	81	147	156	137	302.001	KAT8 regulatory NSL complex subunit 1-like	Kansl1l
ENSMUSG00000026005	480	455	769	631	734	933	ribulose-5-phosphate-3-epimerase	Rpe
ENSMUSG00000026009	5	16	20	24	57	22	inducible T cell co-stimulator	Icos
ENSMUSG00000026011	15	38	47	32	47	44	cytotoxic T-lymphocyte-associated protein 4	Ctla4
ENSMUSG00000026012	14	24	20	36	64	38	CD28 antigen	Cd28
ENSMUSG00000026014	812.638	599.04	1075.803	781.654	1183.54	1201.135	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	Raph1
ENSMUSG00000026017	89.463	51.056	135.388	104.292	189.657	170.152	calcium response factor	Carf
ENSMUSG00000026018	36.597	47	45.048	100.308	58	163.231	islet cell autoantigen 1-like	Ica1l
ENSMUSG00000026019	266.348	361.44	401.151	332.664	434.408	433.287	WD repeat domain 12	Wdr12
ENSMUSG00000026020	1058.212	1448.468	1745.396	1420.323	1840.136	1784.489	NOP58 ribonucleoprotein	Nop58
ENSMUSG00000026021	1450.884	2281.623	2411.106	2071.724	1944.233	2384.053	small ubiquitin-like modifier 1	Sumo1
ENSMUSG00000026023	40.004	48.214	76.486	30.085	37.5	41.886	cyclin-dependent kinase 15	Cdk15
ENSMUSG00000026024	1168.05	1038.656	1383.184	1002.702	1699.236	1786.322	alsin Rho guanine nucleotide exchange factor	Als2
ENSMUSG00000026027	643	578.998	660.999	586.001	794	981.999	STE20-related kinase adaptor beta	Stradb
ENSMUSG00000026028	1808	1419.001	1769	1565	2256	2350	trafficking protein, kinesin binding 2	Trak2
ENSMUSG00000026029	226.458	293.477	292.947	218.405	280.416	392.756	caspase 8	Casp8
ENSMUSG00000026031	780.52	356.983	1021.96	798.204	1398.152	1380.354	CASP8 and FADD-like apoptosis regulator	Cflar
ENSMUSG00000026032	433.49	711.01	716.13	641.957	577.18	837.888	NADH:ubiquinone oxidoreductase subunit B3	Ndufb3
ENSMUSG00000026034	1066.012	1043.001	1700	1445.021	1718.013	1434.007	CDC-like kinase 1	Clk1
ENSMUSG00000026035	287.031	529	525.081	425	431.303	547	peptidylprolyl isomerase (cyclophilin)-like 3	Ppil3
ENSMUSG00000026036	307	424	489.195	424.636	454.218	510.999	Ngg1 interacting factor 3-like 1 (S. pombe)	Nif3l1
ENSMUSG00000026037	444	535	680	549.999	843	706	origin recognition complex, subunit 2	Orc2
ENSMUSG00000026039	76	86	105	161	190	192	shugoshin 2A	Sgo2a
ENSMUSG00000026042	1582	627	1816	3340	3837	5464	collagen, type V, alpha 2	Col5a2
ENSMUSG00000026043	9118.001	4462	13726.999	15102	11757.001	21236.999	collagen, type III, alpha 1	Col3a1
ENSMUSG00000026047	706.245	589.027	1189.24	654.579	1154.611	1006.714	protein O-glucosyltransferase 2	Poglut2
ENSMUSG00000026048	372	307	432	281	448.999	442	excision repair cross-complementing rodent repair deficiency, complementation group 5	Ercc5
ENSMUSG00000026049	626.258	950.011	1224.942	828.125	860.609	1001.383	testis expressed 30	Tex30
ENSMUSG00000026051	17	42	24	30	18	46	ECRG4 augurin precursor	Ecrg4
ENSMUSG00000026058	1	1.977	2	2	4	2	KH domain containing, RNA binding, signal transduction associated 2	Khdrbs2
ENSMUSG00000026062	142	92	117	112	164	231	solute carrier family 9 (sodium/hydrogen exchanger), member 2	Slc9a2
ENSMUSG00000026063	0	0	0	0	0	0	dynein axonemal assembly factor 6	Dnaaf6
ENSMUSG00000026064	51.027	0	15.881	88.955	37.964	42.819	protein tyrosine phosphatase 4a1	Ptp4a1
ENSMUSG00000026065	0	0	0	2	1	0	solute carrier family 9 (sodium/hydrogen exchanger), member 4	Slc9a4
ENSMUSG00000026068	8	10	23	16	12	9	interleukin 18 receptor accessory protein	Il18rap
ENSMUSG00000026069	6.009	3	6.01	10.839	4.004	7	interleukin 1 receptor-like 1	Il1rl1
ENSMUSG00000026070	5.003	5.101	15.05	13	20.002	15.006	interleukin 18 receptor 1	Il18r1
ENSMUSG00000026072	1293	560	1687	885	1718	1259	interleukin 1 receptor, type I	Il1r1
ENSMUSG00000026073	1877	2109	3321	2278	5482	3682	interleukin 1 receptor, type II	Il1r2
ENSMUSG00000026074	4430.002	4492.005	6136.009	3973.005	7139.004	5510.002	mitogen-activated protein kinase kinase kinase kinase 4	Map4k4
ENSMUSG00000026077	130	87	109	105	128	226	neuronal PAS domain protein 2	Npas2
ENSMUSG00000026078	1409.74	1776.999	2213	1471	2182.986	2044	phosducin-like 3	Pdcl3
ENSMUSG00000026080	13	29	23.12	39.008	55	46.135	carbohydrate sulfotransferase 10	Chst10
ENSMUSG00000026082	440	292	518	468.527	627	584.001	REV1, DNA directed polymerase	Rev1
ENSMUSG00000026083	4454	4657	5786.999	3601.472	5892	6527	eukaryotic translation initiation factor 5B	Eif5b
ENSMUSG00000026085	0	0	0	0	1	0	lysozyme G-like 1	Lyg1
ENSMUSG00000026087	586.23	950.001	1085.961	880	866.001	1007.969	mitochondrial ribosomal protein L30	Mrpl30
ENSMUSG00000026088	450	634.001	805.999	663	688.001	763	MIT, microtubule interacting and transport, domain containing 1	Mitd1
ENSMUSG00000026090	61	56	85	60	89	70	capping protein inhibiting regulator of actin like	Cracdl
ENSMUSG00000026094	536	659	764	685	983	928	serine/threonine kinase 17b (apoptosis-inducing)	Stk17b
ENSMUSG00000026095	788	935.682	1244.756	904.693	1168.68	1094.429	asparagine synthetase domain containing 1	Asnsd1
ENSMUSG00000026096	85.186	120.641	163	140	163.709	159.938	O-sialoglycoprotein endopeptidase-like 1	Osgepl1
ENSMUSG00000026097	537	607.618	683	759.001	686.088	884.045	ORM1-like 1 (S. cerevisiae)	Ormdl1
ENSMUSG00000026098	102	122	127	117	167	136.236	PMS1 homolog 1, mismatch repair system component	Pms1
ENSMUSG00000026100	0	1	0	0	0	1	myostatin	Mstn
ENSMUSG00000026102	73.127	76.012	75.423	111.517	85.724	164.917	inositol polyphosphate-1-phosphatase	Inpp1
ENSMUSG00000026103	720.02	490.09	949.851	821.548	1342.796	1058.795	glutaminase	Gls
ENSMUSG00000026104	1338.785	1182.999	1963.652	1508.265	2406.828	1845.129	signal transducer and activator of transcription 1	Stat1
ENSMUSG00000026107	2424.999	2174	3637.001	3109	4992.035	3551.065	nucleic acid binding protein 1	Nabp1
ENSMUSG00000026109	0	3	3	2	1	5	transmembrane protein with EGF-like and two follistatin-like domains 2	Tmeff2
ENSMUSG00000026110	6060	2187	6316	3881.001	7740.998	5698	mannoside acetylglucosaminyltransferase 4, isoenzyme A	Mgat4a
ENSMUSG00000026111	1485	1621	2349.999	1785.001	2118	2084	unc-50 homolog	Unc50
ENSMUSG00000026112	1506	910	1858	1361	2182	2182	cytochrome C oxidase assembly factor 5	Coa5
ENSMUSG00000026113	357.534	217.563	438.364	276	578	465	inositol polyphosphate-4-phosphatase, type I	Inpp4a
ENSMUSG00000026114	0	0	1.013	1	1.077	3	cyclic nucleotide gated channel alpha 3	Cnga3
ENSMUSG00000026116	1033	452	1085	767	1238	1357	transmembrane protein 131	Tmem131
ENSMUSG00000026117	25	35	26	44	69	45	zeta-chain (TCR) associated protein kinase	Zap70
ENSMUSG00000026121	2422.999	1349	4120.001	2044	4294	2229	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	Sema4c
ENSMUSG00000026123	1301.977	1287.086	1811.076	1336.052	2026.375	2824.345	pleckstrin homology domain containing, family B (evectins) member 2	Plekhb2
ENSMUSG00000026124	3	2	2	0	1	7	cripto, FRL-1, cryptic family 1	Cfc1
ENSMUSG00000026125	0	0	0	0	0	0	protease, serine 39	Prss39
ENSMUSG00000026126	39.088	42.157	50	47	39.61	49.021	protein tyrosine phosphatase, non-receptor type 18	Ptpn18
ENSMUSG00000026127	852.837	1044.003	1189.139	1036.006	1223.034	1321.001	IMP4, U3 small nucleolar ribonucleoprotein	Imp4
ENSMUSG00000026131	4149.835	2022.854	3991.465	2627.614	6299.616	5058.161	dystonin	Dst
ENSMUSG00000026134	317.009	466.001	476	404	597.014	472	DNA primase, p58 subunit	Prim2
ENSMUSG00000026135	218	96	227.906	159.001	338.998	239	zinc finger protein 142	Zfp142
ENSMUSG00000026141	1	0	3	2	0	0	collagen, type XIX, alpha 1	Col19a1
ENSMUSG00000026142	517	279	630	449	845	713	rhomboid domain containing 1	Rhbdd1
ENSMUSG00000026147	18	8	1	125	4	88	collagen, type IX, alpha 1	Col9a1
ENSMUSG00000026149	2	1	5	1	0	13	transmembrane 4 L six family member 20	Tm4sf20
ENSMUSG00000026150	1668	2184.999	2678.001	2149	2392	2607.001	mitochondrial fission factor	Mff
ENSMUSG00000026153	415.999	285	557	427.001	686	644	family with sequence similarity 135, member A	Fam135a
ENSMUSG00000026154	170	322	316	283	228	296	succinate dehydrogenase complex assembly factor 4	Sdhaf4
ENSMUSG00000026155	1817.998	2004.998	2706.997	1907.992	2695.001	2823.997	small ArfGAP 1	Smap1
ENSMUSG00000026156	17.002	18.002	20.003	17.009	13.001	14.002	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	B3gat2
ENSMUSG00000026158	296.132	261.619	429.782	255.306	330.983	370.87	opioid growth factor receptor-like 1	Ogfrl1
ENSMUSG00000026159	2412	2189.999	3379	2600	3627	3753	ArfGAP with FG repeats 1	Agfg1
ENSMUSG00000026162	37	49	49	59	79	56	non-homologous end joining factor 1	Nhej1
ENSMUSG00000026163	1	1.001	0	1	3	1.001	SPHK1 interactor, AKAP domain containing	Sphkap
ENSMUSG00000026166	0	1	0	0	1	1	chemokine (C-C motif) ligand 20	Ccl20
ENSMUSG00000026167	42	13	13	17	24	26	wingless-type MMTV integration site family, member 10A	Wnt10a
ENSMUSG00000026170	121.999	51	156	145	158	225	cytochrome P450, family 27, subfamily a, polypeptide 1	Cyp27a1
ENSMUSG00000026171	634	775.999	946.999	694	896.001	1024	ring finger protein 25	Rnf25
ENSMUSG00000026172	158	227	220	255.001	234	290.999	BCS1-like (yeast)	Bcs1l
ENSMUSG00000026173	8.228	6.115	3.928	3.153	4.155	4.884	phospholipase C, delta 4	Plcd4
ENSMUSG00000026174	997	973	1269	1125	1568	1555	CCR4-NOT transcription complex, subunit 9	Cnot9
ENSMUSG00000026175	427	336	235	508	64	1483.999	villin 1	Vil1
ENSMUSG00000026176	1301	895	1543	1241	1894	2602	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1	Ctdsp1
ENSMUSG00000026177	46.597	52.432	84.221	86.226	39.107	141.366	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	Slc11a1
ENSMUSG00000026179	547.001	765.999	918	567.999	841.999	797.001	paroxysmal nonkinesiogenic dyskinesia	Pnkd
ENSMUSG00000026180	1071.768	404.558	1192.384	632.727	1347.479	1086.311	chemokine (C-X-C motif) receptor 2	Cxcr2
ENSMUSG00000026181	634	414	686	624	1153	811	protein phosphatase 1F (PP2C domain containing)	Ppm1f
ENSMUSG00000026182	0	0	0	0	0	0	transition protein 1	Tnp1
ENSMUSG00000026185	271	160	155	190	312	335	insulin-like growth factor binding protein 5	Igfbp5
ENSMUSG00000026187	329	402	398	401	422	702	X-ray repair complementing defective repair in Chinese hamster cells 5	Xrcc5
ENSMUSG00000026188	48	22	26	37	5	167	transmembrane protein 169	Tmem169
ENSMUSG00000026189	225	288.999	246	346	119	764	peroxisomal trans-2-enoyl-CoA reductase	Pecr
ENSMUSG00000026192	1042.696	1202.609	1449.412	1202.009	1829.843	1613.956	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	Atic
ENSMUSG00000026193	67845.486	18532.009	63719.421	33202.07	71434.42	60588.677	fibronectin 1	Fn1
ENSMUSG00000026196	25.206	14.505	35.939	32.991	37.297	60.372	BRCA1 associated RING domain 1	Bard1
ENSMUSG00000026197	269	352.999	446.999	354	387.999	518.001	zinc finger, AN1 type domain 2B	Zfand2b
ENSMUSG00000026198	185	167	223	173.001	279	306	ATP-binding cassette, sub-family B (MDR/TAP), member 6	Abcb6
ENSMUSG00000026199	280.001	305.001	416	306	411	443	ankyrin repeat and zinc finger domain containing 1	Ankzf1
ENSMUSG00000026200	80	35	103	85.02	136.001	143	galactosidase, beta 1-like	Glb1l
ENSMUSG00000026201	690.802	854.74	998.785	965.109	1096.252	1082.109	serine/threonine kinase 16	Stk16
ENSMUSG00000026202	378.981	507	400.999	755	711.001	829	tubulin, alpha 4A	Tuba4a
ENSMUSG00000026203	800.001	594	1080.999	754	1124.001	1131	DnaJ heat shock protein family (Hsp40) member B2	Dnajb2
ENSMUSG00000026204	29	16	33	29	142	69	protein tyrosine phosphatase, receptor type, N	Ptprn
ENSMUSG00000026205	266	156	94	369	65	987	solute carrier family 23 (nucleobase transporters), member 3	Slc23a3
ENSMUSG00000026207	302	340.999	400	282.001	413.001	338	SPEG complex locus	Speg
ENSMUSG00000026208	6731.999	6306	12973	10936	23742.999	16068.001	desmin	Des
ENSMUSG00000026209	2130	2938	3106.999	2766.999	3003.001	4180	aspartyl aminopeptidase	Dnpep
ENSMUSG00000026211	3246.597	3169.377	4172.181	3228.299	5261.015	5575.068	obscurin-like 1	Obsl1
ENSMUSG00000026213	877	649.999	953	772.999	1371	1294.998	serine/threonine kinase 11 interacting protein	Stk11ip
ENSMUSG00000026219	9057.991	8113	11247.002	7617	12803.999	12375	thyroid hormone receptor interactor 12	Trip12
